epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,10219.5,0.85864,0.37382,0.90755,0.97186,0.94759,0.96129,0.7073,0.90952,0.35694,0.88307,0.00091189,0.00091189,0.00091189
91,10334.3,0.85317,0.37211,0.9101,0.97015,0.94634,0.95995,0.70384,0.90366,0.35641,0.88402,0.0009109,0.0009109,0.0009109
92,10448.9,0.85608,0.37272,0.91083,0.97175,0.94816,0.96382,0.71229,0.90544,0.35427,0.88376,0.00090991,0.00090991,0.00090991
93,10574.3,0.8599,0.37681,0.91201,0.97018,0.94953,0.96244,0.7063,0.90917,0.35162,0.88313,0.00090892,0.00090892,0.00090892
94,10686.2,0.85151,0.3747,0.90908,0.97252,0.94643,0.9613,0.70935,0.90215,0.34978,0.88329,0.00090793,0.00090793,0.00090793
95,10796.5,0.85126,0.37129,0.90966,0.97373,0.9441,0.95926,0.70543,0.90542,0.35697,0.88284,0.00090694,0.00090694,0.00090694
96,10908.1,0.85218,0.37287,0.90994,0.97113,0.94526,0.96079,0.70971,0.90404,0.35299,0.88218,0.00090595,0.00090595,0.00090595
97,11025.4,0.85811,0.37553,0.90905,0.97371,0.94488,0.96237,0.70457,0.90789,0.3582,0.88501,0.00090496,0.00090496,0.00090496
98,11137.3,0.85442,0.37492,0.90946,0.97475,0.94449,0.96077,0.70948,0.90622,0.35529,0.88448,0.00090397,0.00090397,0.00090397
99,11259.1,0.85557,0.37334,0.91514,0.97126,0.9445,0.95904,0.71162,0.89694,0.35398,0.88184,0.00090298,0.00090298,0.00090298
100,11369,0.85171,0.37241,0.91348,0.96828,0.94813,0.96303,0.71182,0.89372,0.34981,0.88099,0.00090199,0.00090199,0.00090199
